		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.179688	M = 100	N = 8	m = 9	n = 800
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001011101    0    0    0    0    0    0    1    0  4.760566 0.782834 SUCCESS  40
001011111    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  41
001100101    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  42
001100111    0    0    0    0    0    1    0    0  4.760566 0.782834 SUCCESS  43
001101011    0    1    0    0    0    0    0    0  4.760566 0.782834 SUCCESS  44
001101101    0    0    0    0    0    0    1    0  4.760566 0.782834 SUCCESS  45
001101111    0    0    0    0    1    0    0    0  4.760566 0.782834 SUCCESS  46
001110101    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  47
001110111    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  48
001111011    0    0    0    0    0    1    0    0  4.760566 0.782834 SUCCESS  49
001111101    0    1    1    0    0    0    0    0  8.153212 0.418649 SUCCESS  50
001111111    1    0    0    0    0    0    0    0  4.760566 0.782834 SUCCESS  51
010000011    1    0    1    1    0    1    0    0 14.938505 0.060352 SUCCESS  52
010000111    0    0    0    1    0    0    0    0  4.760566 0.782834 SUCCESS  53
010001011    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  54
010001111    1    0    0    0    0    1    0    0  8.153212 0.418649 SUCCESS  55
010010011    0    2    0    0    0    0    0    1 22.137535 0.004667 FAILURE  56
010010111    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  57
010011011    0    0    0    0    1    0    0    0  4.760566 0.782834 SUCCESS  58
010011111    0    0    0    1    0    0    0    1  8.153212 0.418649 SUCCESS  59
010100011    0    1    0    0    0    0    1    1 11.545859 0.172646 SUCCESS  60
010100111    0    0    1    0    0    0    0    1  8.153212 0.418649 SUCCESS  61
010101011    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  62
010101111    0    0    0    0    1    2    0    1 25.530182 0.001263 FAILURE  63
010110011    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  64
010110111    0    1    0    0    0    0    0    0  4.760566 0.782834 SUCCESS  65
010111011    0    0    0    0    1    0    1    0  8.153212 0.418649 SUCCESS  66
010111111    0    0    0    0    0    1    0    0  4.760566 0.782834 SUCCESS  67
011000111    1    0    0    0    0    0    0    0  4.760566 0.782834 SUCCESS  68
011001111    0    0    0    0    0    2    0    0 18.744889 0.016285 SUCCESS  69
011010111    0    0    0    0    1    1    0    0  8.153212 0.418649 SUCCESS  70
011011111    0    1    1    0    0    0    0    0  8.153212 0.418649 SUCCESS  71
011101111    0    0    0    0    1    0    1    0  8.153212 0.418649 SUCCESS  72
011111111    0    0    1    0    0    0    0    0  4.760566 0.782834 SUCCESS  73
100000000    0    0    0    0    1    0    1    0  8.153212 0.418649 SUCCESS  74
100010000    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  75
100100000    1    0    0    1    0    0    0    0  8.153212 0.418649 SUCCESS  76
100101000    0    1    0    0    0    0    0    0  4.760566 0.782834 SUCCESS  77
100110000    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  78
100111000    1    0    1    0    1    1    0    0 14.938505 0.060352 SUCCESS  79
101000000    0    0    0    1    0    0    1    0  8.153212 0.418649 SUCCESS  80
101000100    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  81
101001000    1    0    0    1    0    0    0    0  8.153212 0.418649 SUCCESS  82
101001100    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  83
