		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000101101    4    4    2    0    4    2    2    2  5.950009 0.652832 SUCCESS  21
000101111    3    1    5    4    0    5    1    3 11.159790 0.192809 SUCCESS  22
000110011    2    1    0    2    1    5    3    5 10.123792 0.256445 SUCCESS  23
000110101    2    3    2    2    2    4    2    2  1.650450 0.989919 SUCCESS  24
000110111    2    2    3    5    4    6    2    6 15.052231 0.058138 SUCCESS  25
000111001    4    2    1    5    3    2    5    3  7.959118 0.437474 SUCCESS  26
000111011    2    3    0    3    2    0    4    5  9.276457 0.319514 SUCCESS  27
000111101    1    1    6    0    4    2    2    1 11.692684 0.165451 SUCCESS  28
000111111    1    6    2    5    2    2    2    2  9.465122 0.304589 SUCCESS  29
001000011    4    1    2    3    2    0    2    3  4.914011 0.766726 SUCCESS  30
001000101    2    2    2    0    2    2    2    1  3.815124 0.873406 SUCCESS  31
001000111    1    4    0    4    3    0    3    1  9.087793 0.334944 SUCCESS  32
001001011    0    1    4    1    3    1    0    1  9.620687 0.292664 SUCCESS  33
001001101    2    2    2    3    1    1    1    2  3.030678 0.932418 SUCCESS  34
001001111    1    4    2    7    2    2    2    1 11.944236 0.153709 SUCCESS  35
001010011    3    1    3    2    3    4    5    1  6.075785 0.638743 SUCCESS  36
001010101    1    0    2    0    3    5    2    3  9.087793 0.334944 SUCCESS  37
001010111    2    2    1    1    2    2    4    1  3.940900 0.862416 SUCCESS  38
001011011    4    3    4    0    2    3    1    2  5.887121 0.659874 SUCCESS  39
001011101    3    2    2    1    3    0    1    3  4.788234 0.779952 SUCCESS  40
001011111    3    3    5    3    2    2    0    2  5.950009 0.652832 SUCCESS  41
001100101    4    4    2    1    0    5    2    2  8.492011 0.386941 SUCCESS  42
001100111    4    2    1    1    1    1    0    4  8.114683 0.422349 SUCCESS  43
001101011    1    2    1    2    3    3    1    1  3.878012 0.867958 SUCCESS  44
001101101    5    7    5    5    2    3    5    1 21.172234 0.006704 FAILURE  45
001101111    1    1    1    1    1    5    1    4  9.024905 0.340199 SUCCESS  46
001110101    2    3    2    2    4    0    3    2  4.129564 0.845248 SUCCESS  47
001110111    3    1    2    5    1    2    3    5  7.770453 0.456208 SUCCESS  48
001111011    1    3    4    0    1    1    2    0  8.836241 0.356298 SUCCESS  49
001111101    1    1    4    0    6    2    1    3 11.755572 0.162447 SUCCESS  50
001111111    1    6    1    5    5    1    3    3 13.890457 0.084666 SUCCESS  51
010000011    1    3    6    4    2    3    2    4  8.806452 0.358886 SUCCESS  52
010000111    5    2    2    2    4    1    2    3  5.165563 0.739743 SUCCESS  53
010001011    4    2    2    0    3    3    4    0  7.518901 0.481816 SUCCESS  54
010001111    1    4    3    3    5    1    4    3  7.048895 0.531367 SUCCESS  55
010010011    1    2    1    2    2    1    1    2  3.752236 0.878757 SUCCESS  56
010010111    1    2    2    2    6    1    0    2  9.935127 0.269609 SUCCESS  57
010011011    1    0    3    3    3    2    1    1  5.572680 0.694975 SUCCESS  58
010011111    2    4    5    5    3    3    2    2  7.174672 0.517910 SUCCESS  59
010100011    2    5    4    2    0    4    1    6 13.827568 0.086372 SUCCESS  60
010100111    4    2    5    0    4    2    3    1  8.554899 0.381222 SUCCESS  61
010101011    1    0    3    2    0    3    5    3  9.150681 0.329745 SUCCESS  62
010101111    2    1    1    1    1    2    3    0  6.231350 0.621335 SUCCESS  63
010110011    4    2    2    0    1    1    2    1  6.357126 0.607295 SUCCESS  64
010110111    4    1    2    3    1    3    1    1  4.851122 0.773363 SUCCESS  65
