		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.126953	M = 125001	N = 8	m = 9	n = 1000010
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
101110000  235  271  233  237  250  255  254  229  6.181601 0.626898 SUCCESS  92
101110100  250  233  262  242  213  228  250  241  7.437449 0.490252 SUCCESS  93
101111000  235  231  236  254  241  234  259  233  3.713379 0.882014 SUCCESS  94
101111100  233  249  237  258  252  237  253  284  9.202737 0.325483 SUCCESS  95
110000000  242  242  243  256  246  241  220  262  4.516801 0.807750 SUCCESS  96
110000010  257  268  245  239  267  239  248  302 19.812367 0.011070 SUCCESS  97
110000100  246  243  213  247  258  232  221  243  7.869851 0.446286 SUCCESS  98
110001000  245  246  245  244  244  228  225  246  2.688113 0.952382 SUCCESS  99
110001010  265  263  248  247  279  230  260  236 10.798476 0.213381 SUCCESS 100
110010000  220  251  242  250  267  248  250  245  5.261042 0.729346 SUCCESS 101
110010010  251  243  238  242  238  215  262  224  7.206652 0.514510 SUCCESS 102
110010100  248  236  208  250  216  259  225  239 11.969161 0.152585 SUCCESS 103
110011000  237  258  257  233  262  249  246  278  8.587084 0.378316 SUCCESS 104
110011010  265  241  254  270  266  242  266  264 10.882547 0.208444 SUCCESS 105
110100000  239  246  249  247  238  240  263  240  2.074214 0.978652 SUCCESS 106
110100010  262  258  226  241  251  226  236  264  7.147554 0.520800 SUCCESS 107
110100100  275  236  237  214  242  247  246  208 13.976930 0.082369 SUCCESS 108
110101000  243  238  249  276  237  249  259  277 10.400232 0.238051 SUCCESS 109
110101010  232  198  255  222  221  239  215  247 18.219061 0.019643 SUCCESS 110
110101100  255  250  231  262  249  262  254  251  4.797511 0.778983 SUCCESS 111
110110000  237  259  224  256  235  247  241  233  4.419689 0.817413 SUCCESS 112
110110010  204  267  236  230  248  263  249  237 12.051958 0.148901 SUCCESS 113
110110100  261  218  261  222  240  260  234  271 12.012223 0.150659 SUCCESS 114
110111000  243  264  242  256  260  240  240  240  3.578899 0.892981 SUCCESS 115
110111010  238  227  249  248  230  219  253  251  5.619998 0.689712 SUCCESS 116
110111100  254  236  239  253  241  259  238  222  4.349619 0.824283 SUCCESS 117
111000000  252  244  247  226  245  241  231  265  4.310282 0.828100 SUCCESS 118
111000010  247  256  238  234  278  243  228  240  7.266180 0.508205 SUCCESS 119
111000100  246  236  244  250  234  258  265  255  4.037465 0.853727 SUCCESS 120
111000110  228  264  268  234  247  233  226  245  7.578946 0.475641 SUCCESS 121
111001000  228  241  249  263  273  241  257  246  7.043194 0.531980 SUCCESS 122
111001010  262  255  227  245  248  235  247  263  5.060712 0.751068 SUCCESS 123
111001100  222  234  242  234  239  267  256  252  6.150124 0.630420 SUCCESS 124
111010000  219  273  261  233  231  241  250  228  9.956908 0.268063 SUCCESS 125
111010010  263  220  244  266  219  222  247  242 10.805509 0.212965 SUCCESS 126
